,area (sq.feet),baths,beds,city,price ($)
0,"1,204",1,3,Rock Springs WY 82901,"58,900"
1,"1,296",2,3,Rock Springs WY 82901,"37,000"
2,"4,560",2,6,Rock Springs WY 82901,"430,000"
3,"1,344",2,3,Rock Springs WY 82901,"120,800"
4,NA,1,4,Rock Springs WY 82901,"150,000"
5,NA,NA,4,Rock Springs WY 82901,"230,000"
6,NA,NA,3,Rock Springs WY 82901,"200,000"
7,NA,2,3,Rock Springs WY 82901,"219,000"
8,NA,NA,4,Rock Springs WY 82901,"220,000"
9,960,2,5,Rock Springs WY 82901,"179,900"
10,NA,NA,NA,Rock Springs WY 82901,"15,000"
11,"1,324",1,2,Rock Springs WY 82901,"99,900"
